Date,Hinckley Reservoir Elevation,Hinckley Reservoir Comparison to Elevation Trigger1,Hinckley Reservoir Comparison to Normal Elevation2,Hinckley Reservoir Discharge,1920 Operating Diagram Release4,Hinckley Reservoir Inflow,Hinckley Reservoir 30-Day Running Average Inflow5,Wilmurt Streamgage Flow,Mohawk Valley Water Authority Withdrawal,Delta Reservoir Elevation,Delta Reservoir Discharge,Nine Mile Feeder Discharge
,(ft),(ft),(ft),(cfs)3,(cfs),(cfs),(cfs),(cfs),(cfs),(ft),(cfs),(cfs)
6/15/2012,1225.1,5.6,1.8,748,600,533,866,508,31.6,550.3,259,0
6/14/2012,1225.3,5.6,2,809,600,844,921,765,33.8,550.4,312,0
6/13/2012,1225.3,5.4,1.9,700,600,1235,946,990,34.3,550.4,301,0
6/12/2012,1224.9,4.8,1.4,605,600,640,932,375,35,550.1,183,0
6/11/2012,1224.9,4.7,1.3,620,600,405,946,,31.2,550.1,196,0
6/10/2012,1225.1,4.7,1.4,640,600,675,972,425,31.7,,,
6/9/2012,1225.1,4.5,1.3,714,600,499,1014,,33.7,,,
6/8/2012,1225.3,4.5,1.5,800,600,835,1087,,31.7,550.3,273,0
6/7/2012,1225.3,4.4,1.4,892,600,675,1219,590,29.3,550.3,253,0
6/6/2012,1225.5,4.4,1.5,1038,600,1073,1273,726,29.9,550.3,269,0
6/5/2012,1225.5,4.2,1.4,1036,600,1071,1267,963,29.5,,,
6/4/2012,1225.5,4,1.3,1035,600,1070,1268,,31.9,550.3,305,0
6/3/2012,1225.5,3.9,1.2,1028,600,1314,1269,,32.5,,,
6/2/2012,1225.3,3.5,1.1,804,600,839,1278,,31.8,,,
6/1/2012,1225.3,3.3,1.1,913,600,807,1288,622,31.5,550.2,199,0
5/31/2012,1225.5,3.5,1.3,1111,680,1149,1299,889,32.1,550.3,228,0
5/30/2012,1225.5,3.5,1.3,775,680,2056,1291,1430,34.1,550.3,246,0
5/29/2012,1224.5,2.5,0.3,688,680,472,1252,489,31.8,,,
5/28/2012,1224.7,2.7,0.4,688,680,471,1266,372,33.4,,,
5/27/2012,1224.9,2.9,0.6,689,680,721,1296,432,34,,,
5/26/2012,1224.9,2.9,0.6,716,680,498,1317,,32.2,,,
5/25/2012,1225.1,3.1,0.7,694,680,726,1354,634,31.6,550.5,201,0
5/24/2012,1225.1,3.1,0.7,839,800,871,1391,806,34.5,550.5,234,0
5/23/2012,1225.1,3.1,0.7,818,800,1349,1446,1120,32.5,550.5,259,0
5/22/2012,1224.7,2.7,0.3,802,800,585,1471,506,33.1,550.5,213,0
5/21/2012,1224.9,2.9,0.4,814,800,596,1476,,35.2,550.5,216,0
5/20/2012,1225.1,3.1,0.6,887,800,669,1472,576,30.9,,,
5/19/2012,1225.3,3.3,0.8,1075,800,856,1465,,31.8,,,
5/18/2012,1225.5,3.5,1,1368,800,1148,1454,904,34.1,550.6,372,0
5/17/2012,1225.6,3.6,1.1,1945,950,1301,1435,1240,33.2,550.7,515,0
5/16/2012,1225.8,3.8,1.3,1656,950,2193,1417,1730,32.3,550.8,650,0
5/15/2012,1225.5,3.5,0.9,1055,950,1589,1368,1130,32.3,550.5,324,0
5/14/2012,1225.1,3.1,0.5,1049,950,830,1330,634,30.8,550.7,331,0
5/13/2012,1225.3,3.3,0.8,1280,950,1061,1320,742,31.3,,,
5/12/2012,1225.5,3.5,1.1,1646,950,1173,1298,,31.6,,,
5/11/2012,1225.8,3.8,1.4,2158,950,1936,1281,1310,31.7,550.9,689,0
5/10/2012,1226,4,1.7,2409,1070,2695,1231,1960,31.4,551,910,0
5/9/2012,1225.8,3.8,1.6,1283,1070,4783,1159,,32,551,2150,0
5/8/2012,1223.3,1.3,-1,1083,1070,2316,1016,2010,32,550.2,1320,0
5/7/2012,1222.3,0.3,-2,1078,1070,872,948,,30.1,550.6,320,0
5/6/2012,1222.5,0.5,-1.9,1069,1070,1101,945,744,31.9,,,
5/5/2012,1222.5,0.5,-1.9,1077,1070,1109,933,,32.8,,,
5/4/2012,1222.5,0.5,-1.9,1078,1070,1586,915,1040,33.3,550.8,588,0
5/3/2012,1222.2,0.2,-2.2,1107,1100,1139,883,850,30.8,550.7,398,0
5/2/2012,1222.2,0.2,-2.1,1106,1100,1138,869,745,31.7,550.6,368,0
5/1/2012,1222.2,0.2,-1.9,1104,1100,898,857,688,32.6,550.6,305,0
4/30/2012,1222.3,,-1.6,1103,1100,891,853,628,31.2,550.6,294,0
4/29/2012,1222.5,,-1.3,1102,1100,890,850,762,31.3,,,
4/28/2012,1222.7,,-0.9,1104,1100,1370,851,,31.5,,,
4/27/2012,1222.5,,-0.9,1102,1100,1368,835,1140,30.3,550.8,484,0
4/26/2012,1222.3,,-0.9,1101,1100,1603,828,1250,31.9,550.7,464,0
4/25/2012,1222,,-0.8,1103,1100,1837,810,1560,31.2,550.6,394,0
4/24/2012,1221.4,,-1,1103,1100,2522,793,2010,31.4,550.4,196,0
4/23/2012,1220.3,,-1.5,1001,1100,2085,761,1660,30.5,549.7,276,0
4/22/2012,1219.5,,-1.5,609,1100,747,715,484,30.6,,,
4/21/2012,1219.4,,-0.9,438,1100,465,781,,32.2,,,
4/20/2012,1219.4,,-0.4,498,1100,476,884,367,34,549.4,193,0
4/19/2012,1219.4,,0.2,617,1100,499,1016,409,,549.5,193,0
4/18/2012,1219.4,,0.6,613,1100,603,1210,471,32.7,549.5,193,0
4/17/2012,1219.5,,1.3,608,1100,746,1351,532,33.2,549.5,196,0
4/16/2012,1219.4,,2.1,490,1100,714,1477,521,30.3,549.5,204,0
4/15/2012,1219.2,,2.8,498,1100,451,1632,386,30.9,,,
4/14/2012,1219.3,,3.7,551,1100,529,1746,,32,,,
4/13/2012,1219.3,,4.4,930,1100,401,1829,425,30.2,549.6,201,0
4/12/2012,1219.8,,5.6,1105,1100,671,1932,449,30.5,549.7,201,0
4/11/2012,1220.2,,6.6,1106,1100,430,1971,425,31.2,549.7,201,0
4/10/2012,1220.7,,7.9,1109,1100,553,2007,373,30.2,549.8,204,0
4/9/2012,1221.2,,8.9,1104,1100,479,2051,327,30.8,549.8,204,0
4/8/2012,1221.7,,10,1102,1100,275,2124,333,31.6,,,
4/7/2012,1222.3,,11.4,1104,1100,779,2205,,31.4,,,
4/6/2012,1222.6,,12.5,1105,1100,752,2199,383,31.4,550,207,0
4/5/2012,1222.9,,13.7,1109,1100,555,2184,412,34,550.1,213,0
4/4/2012,1223.3,,15.1,1105,1100,627,2177,421,32.9,550.2,222,0
4/3/2012,1223.7,,16.6,1107,1100,719,2168,453,30.8,550.2,246,0
4/2/2012,1224,,17.8,1109,1100,800,2164,507,30.7,550.3,283,0
4/1/2012,1224.3,,19,1107,1100,769,2142,525,31.4,,,
3/31/2012,1224.6,,20.2,1106,1100,804,2123,,33.2,,,
3/30/2012,1224.8,,21.3,1105,1100,924,2106,646,33.6,550.4,219,0
3/29/2012,1224.9,,22.2,1134,1100,870,2095,734,32.1,550.4,234,0
3/28/2012,1225.2,,23.4,1187,1100,1155,2071,746,30.4,,,
3/27/2012,1225.2,,24.2,1328,1100,1076,2042,840,29.8,550.5,231,0
3/26/2012,1225.4,,24.8,1579,1100,1327,2015,1090,31.5,550.5,301,0
3/25/2012,1225.6,,25.4,1882,1100,1554,1987,1330,32.8,,,
3/23/2012,1226,,26.2,3059,1100,2665,1891,2240,33.1,550,381,0
3/22/2012,1226.4,,26.6,3719,1100,3435,1818,2890,,,,
3/21/2012,1226.6,,27,3357,1100,4327,1715,3740,33.6,550.7,529,0
3/20/2012,1225.9,,26.5,1234,1100,6115,1576,5280,35.1,550.8,542,0
3/19/2012,1222.3,,22.8,1108,1100,4690,1386,4650,32.7,550.6,416,0
3/18/2012,1219.5,,20.2,1112,1100,4404,1242,3620,30.9,,,
3/17/2012,1216.7,,17.6,1104,1100,5210,1111,,33.1,,,
3/16/2012,1213.1,,14,1108,1100,3762,946,3820,35.3,549,222,0
3/15/2012,1210.6,,11.6,904,900,2927,831,,34.6,548.5,219,0
3/14/2012,1208.6,,9.8,905,900,3374,746,,34.7,547.9,225,0
3/13/2012,1206.1,,7.4,905,900,1829,648,1600,33.8,546.8,225,0
3/12/2012,1205.1,,6.5,907,900,1465,600,,33.6,546.3,219,0
3/11/2012,1204.5,,5.8,906,900,1814,568,1170,33.7,,,
3/10/2012,1203.5,,4.8,911,900,2605,528,,33.7,,,
3/9/2012,1201.5,,2.8,915,900,2625,452,,33.8,545.2,234,0
3/8/2012,1199.4,,0.8,998,1000,596,379,396,33.4,544,216,0
3/7/2012,1199.9,,1.2,1003,1000,338,382,265,34.3,543.8,204,0
3/6/2012,1200.8,,2.3,1003,1000,346,397,243,34.1,543.7,207,0
3/5/2012,1201.6,,3.2,999,1000,368,410,269,34.2,543.7,213,0
3/4/2012,1202.4,,3.6,1012,1000,604,436,317,34.2,,,
3/3/2012,1203,,3.8,1001,1000,145,458,,34,,,
3/2/2012,1204,,4.6,1009,1000,227,509,242,33.8,543.2,213,0
3/1/2012,1204.9,,5.3,1098,1100,316,540,238,33.8,543.2,216,0
2/29/2012,1205.8,,6.1,1108,1100,607,568,234,33.8,543.1,222,0
2/28/2012,1206.3,,6.5,1103,1100,158,602,252,34.4,543.1,222,0
2/27/2012,1207.4,,7.5,1100,1100,316,682,274,34.2,543.1,222,0
2/26/2012,1208.2,,8.1,1098,1100,297,808,265,34.3,,,
2/25/2012,1209,,8.6,1104,1100,519,860,,34.2,,,
2/24/2012,1209.7,,9.1,1107,1100,422,867,280,34.3,542.9,222,0
2/23/2012,1210.4,,9.7,1106,1100,243,879,281,34.2,542.8,225,0
2/22/2012,1211.2,,10.4,1115,1100,478,891,263,34.2,542.9,216,0
2/21/2012,1211.8,,10.8,1106,1100,331,889,255,34.6,,,
2/20/2012,1212.6,,11.1,1110,1100,169,892,257,34.4,,,
2/19/2012,1213.5,,11.7,1101,1100,397,904,271,34.4,,,
2/18/2012,1214.2,,12.2,1102,1100,389,912,,34.7,,,
2/17/2012,1214.8,,12.7,1111,1100,467,922,292,34.5,,,
2/16/2012,1215.4,,13,1112,1100,275,930,289,34.6,,,
2/15/2012,1216,,13.3,1112,1100,311,940,312,34.5,543,237,0
2/14/2012,1216.7,,13.6,1120,1100,378,943,311,34.6,543,237,0
2/13/2012,1217.4,,13.9,1097,1100,430,947,290,35.7,543,237,0
2/12/2012,1218,,14.2,1121,1100,386,954,276,35.2,,,
